FirmName,Year,IPO Revenue,IPO Rank,IPO Market Share,IPO Num of Issues
Lord Day & Lord,1984,131.6,1,4.2,1
Baker & Botts,1984,90,2,2.9,1
Stoel Rives Boley Jones & Grey,1984,85.8,3,2.8,2
Wilson Sonsini Goodrich & Rosati,1984,80.7,4,2.6,5
Winston & Strawn,1984,76.9,5,2.5,1
"Elias, Matz, Tiernan & Herrick",1984,72.7,6,2.3,6
Kirkpatrick & Lockhart LLP,1984,59.1,7,1.9,3
Debevoise & Plimpton,1984,52.3,8,1.7,1
"Muldoon, Murphy & Faucette",1984,51.1,9,1.7,5
General Counsel,1984,50.9,10*,1.6,8
Latham & Watkins,1984,50.9,10*,1.6,2
Robinson & Cole,1984,50.5,12,1.6,1
Hogan & Hartson,1984,50,13,1.6,3
Gaston Snow & Ely Bartlett,1984,44.5,14,1.4,2
Arnold & Porter,1984,40,15,1.3,1
Dorsey & Whitney LLP,1984,37.2,16,1.2,2
"Kaye, Scholer, Fierman, Hays & Handler",1984,36.4,17,1.2,1
"Memel, Jacobs & Ellsworth",1984,34.5,18,1.1,1
Jones Walker Waechter Poitevent Carrere & Denegre,1984,32,19,1,1
O'Melveny & Myers,1984,30.9,20,1,1
Heller Ehrman White & McAuliffe,1984,28.7,21,0.9,2
Reboul MacMurray Hewitt Maynard & Kristol,1984,27.9,22,0.9,2
Robert M. Rogers,1984,25.4,23,0.8,2
Goodwin Procter & Hoar,1984,25,24,0.8,1
Friedman & Koven (IL),1984,23.4,25,0.8,1
Kirkland & Ellis,1984,23.3,26,0.8,1
Coudert Brothers,1984,23.2,27,0.8,1
"Hall, Mcnicol, Hamilton & Clark",1984,23,28,0.7,1
Cahill Gordon & Reindel,1984,22.5,29,0.7,1
"Benesch, Friedlander, Coplan & Aronoff",1984,22.2,30,0.7,1
Wagner-W,1984,21.7,31,0.7,1
Cooley Godward Castro Huddleson & Tatum,1984,21.3,32*,0.7,2
Gardere & Wynne,1984,21.3,32*,0.7,2
"Calfee, Halter & Griswold (OH)",1984,20.9,34*,0.7,1
Briggs and Morgan (MN),1984,20.9,34*,0.7,1
Brobeck Phleger & Hantson (CA),1984,19,36*,0.6,2
Testa Hurwitz & Thibeault,1984,19,36*,0.6,1
Porter Wright Morris & Arthur,1984,18.3,38,0.6,1
Hale & Dorr LLP,1984,18.1,39,0.6,1
Lord Bissell & Brook,1984,17.8,40,0.6,1
"Windels Marx Lane & Mittendorf, LLP",1984,16.5,41,0.5,2
"Hopkins, Mitchell & Carley",1984,16.1,42*,0.5,1
"Rudin, Richman & Appel",1984,16.1,42*,0.5,1
Lansden,1984,15.4,44,0.5,1
Wiggin & Nourie,1984,14.8,45,0.5,1
Lawson Lundell Lawson & McIntosh,1984,14,46,0.5,1
Baker & Hostetler LLP,1984,13.9,47,0.5,2
"Hartman, Underhill & Brubaker (PA)",1984,13.8,48*,0.5,1
Quarles & Brady (WI),1984,13.8,48*,0.4,1
R.P. Wolf (SC),1984,13.5,50,0.4,1
"Bachner, Tally, Polevoy & Misher",1984,13.2,51,0.4,1
"Olwine, Connelly, Chase, O'Donnell",1984,13,52,0.4,1
"Choate, Hall & Stewart LLP",1984,12.8,53*,0.4,1
Ware & Freidenrich,1984,12.8,53*,0.4,1
Columbo,1984,12.7,55,0.4,1
Hansell & Post,1984,12.5,56,0.4,1
Piper & Marbury,1984,12.3,57,0.4,1
"Keating, Muething & Klekamp (FL)",1984,12.1,58,0.4,1
"Knudsen, Berkheimer, Richardson & Endacott",1984,11.5,59,0.4,1
"Fenwick, Davis & West",1984,11.1,60*,0.4,1
Reavis & McGrath,1984,11.1,60*,0.4,1
"Shook, Hardy & Bacon (MO)",1984,10,62,0.3,1
Kronish Lieb Weiner & Hellman,1984,9.9,63,0.3,1
Whitman & Ransom,1984,9.7,64,0.3,1
Housley Goldberg & Kantarian,1984,9.5,65,0.3,2
Not Available,1984,9.1,66,0.3,1
Gadsby & Hannah (MA),1984,9,67,0.3,1
Kindel & Anderson (CA),1984,8.8,68*,0.3,1
"Manatt, Phelps, Rothenberg & Phillips",1984,8.8,68*,0.3,2
Arnall Golden & Gregory,1984,8.6,70*,0.3,1
"Nixon, Yow, Waller & Capers (GA)",1984,8.6,70*,0.3,1
Sidley & Austin,1984,8.4,72,0.3,1
Matthews & Branscomb,1984,8.1,73,0.3,1
"Greenberg, Traurig, Askew",1984,8,74*,0.3,1
Hutchins & Wheeler,1984,8,74*,0.3,1
Sommer & Barnard,1984,7.7,76,0.3,1
"Riordan, Caps, Carbone & Mckinze",1984,7.5,77,0.2,1
"Freshman, Marantz, Orlanski, Cooper",1984,7.2,78*,0.2,1
"Schifino, Fleischer & Neal",1984,7.2,78*,0.2,1
Breslow & Walker,1984,6.8,80*,0.2,1
Rosenblum Parish & Bacigalupi,1984,6.8,80*,0.2,1
"Akin, Gump, Strauss, Hauer & Feld",1984,6.4,82,0.2,2
"Smith, Cohen, Ringel, Kohler & Martin",1984,6.3,83*,0.2,1
"Winstead, Sechrest & Minick",1984,6.3,83*,0.2,1
"Snow, Christensen & Martineau (UT)",1984,6.1,85,0.2,1
Sonnenschein Carlin Nath & Rosenthal,1984,6,86*,0.2,1
Towne Dolgin Sawyier & Horton,1984,6,86*,0.2,1
Fine & Ambrogne,1984,5.9,88,0.2,1
McGuire Woods Battle & Boothe,1984,5.7,89,0.2,1
Gibson Dunn & Crutcher,1984,5.6,90,0.2,1
"Grutman, Miller, Greenspoon & Hendler",1984,5.5,91*,0.2,1
Stroock & Stroock & Lavan,1984,5.5,91*,0.2,1
Graham & James,1984,5.4,93,0.2,1
Steptoe & Johnson Chartered (DC),1984,5.3,94,0.2,2
Vinson & Elkins LLP,1984,5.2,95,0.2,1
Arent Fox Kintner Plotkin & Kahn,1984,4.8,96*,0.2,1
Olshan Grundman Frome & Rosenzweig,1984,4.8,96*,0.2,1
"Spengler, Nathanson, Heyman, McCathy & Durfee",1984,4.8,96*,0.2,2
Rapaport & Cascone,1984,4.7,99*,0.2,1
Wiener Zuckerbrot Weiss,1984,4.7,99*,0.2,1
Mcdaniel-C,1984,4.7,99*,0.2,1
"Hall, Dickler, Lawler, Kent & Friedman",1984,4.6,102*,0.2,1
"Keck, Mahin & Cate (IL)",1984,4.6,102*,0.2,1
Hillis-P,1984,4.5,104*,0.2,1
McKenna & Co,1984,4.5,104*,0.1,1
Tolins & Lowenfels,1984,4.5,104*,0.1,1
Golenbock,1984,4.4,107,0.1,1
"Rifkind, Sterling & Levin",1984,4.3,108*,0.1,2
Ross-B,1984,4.3,108*,0.1,1
"Cantey, Hanger, Gooch, Munn & Collins",1984,4,110,0.1,1
"Blackwell, Walker, Gray, Powers, Flick",1984,3.8,111*,0.1,1
Smith and Schnacke,1984,3.8,111*,0.1,1
Seward & Kissel (NY),1984,3.8,111*,0.1,1
Fuerst,1984,3.7,114*,0.1,1
Oppenheimer-F,1984,3.7,114*,0.1,2
Bogle & Gates (WA),1984,3.6,116*,0.1,1
"Tenzer, Greenblatt, Fallon & Kaplan",1984,3.6,116*,0.1,1
Dreyer Traub,1984,3.5,118*,0.1,1
Gray Cary Ames & Frye,1984,3.5,118*,0.1,1
Parcel,1984,3.5,118*,0.1,1
Schmidt,1984,3.5,118*,0.1,1
Leff & Mason,1984,3.4,122,0.1,1
Brenman Epstein Rashkin & Friedlob,1984,3,123*,0.1,1
"Reinhart, Boerner, Van Deuren, Norris & Rieselbach",1984,3,123*,0.1,1
Kraft & Hughes (NJ),1984,3,123*,0.1,1
"Mazur, Raben, Breece, Frankel, Kaiser",1984,2.9,126,0.1,1
"Foulston, Siefkin, Powers & Elkouri (KS)",1984,2.8,127,0.1,1
Collins-D,1984,2.6,128,0.1,1
Gersten Savage Kaplowitz Zukerman & Liebman,1984,2.5,129*,0.1,1
Parker Chapin Flattau & Klimpl,1984,2.5,129*,0.1,1
Gusrae Kaplan & Bruno,1984,2.4,131*,0.1,1
Rudnick & Wolfe,1984,2.4,131*,0.1,1
"Arvey, Hodes,Costello & Burma",1984,2.3,133*,0.1,1
Mahoney Adams Milam Surface & Grimsley,1984,2.3,133*,0.1,1
Bressler-L,1984,2.2,135,0.1,1
Bressler-D,1984,2.1,136,0.1,1
"Cadwalader, Wickersham & Taft",1984,2,137*,0.1,1
Goldstein-S,1984,2,137*,0.1,1
"Rubin, Baum, Levin, Constant, Friedman & Bilzin",1984,2,137*,0.1,1
Black-H,1984,1.9,140*,0.1,1
Cohen-P,1984,1.9,140*,0.1,1
"Fox, Edwards, Gardiner & Brown",1984,1.8,142*,0.1,1
Mintz Levin Cohn Ferris Glovsky & Popeo,1984,1.8,142*,0.1,1
Ahlpern,1984,1.5,144,0.1,1
Jacobs-H,1984,1.4,145,0.1,1
Mcnees,1984,1.3,146,0,1
Schupak,1984,0.9,147,0,1
"Wofsey, Certilman, Haft, Lebow & Balin",1984,0.7,148,0,1
General Counsel,1985,930.5,1,11.2,9
Milbank Tweed Hadley & McCloy,1985,750,2,9,1
Andrews Kurth LLP,1985,482.8,3,5.8,5
"Paul, Weiss",1985,283.9,4,3.4,3
Thompson & Knight PC,1985,201.6,5,2.4,1
Latham & Watkins,1985,200.3,6,2.4,3
Shea & Gould,1985,198.6,7,2.4,4
Vinson & Elkins LLP,1985,189.8,8,2.3,1
Gibson Dunn & Crutcher,1985,161.3,9,1.9,7
Housley Goldberg & Kantarian,1985,143.5,10,1.7,4
McKenna & Co,1985,129.6,11,1.6,2
Honigman Miller Schwartz and Cohn (MI),1985,127,12,1.5,2
Brown Wood Ivey Mitchell Petty,1985,121.4,13,1.5,2
Munger Tolles & Olson,1985,120.1,14,1.4,1
Hughes & Luce LLP,1985,118,15,1.4,1
"Argue, Freston, Pearson, Harbi",1985,106.4,16,1.3,1
Ware & Freidenrich,1985,101.6,17,1.2,3
Hale & Dorr LLP,1985,90.8,18,1.1,2
"Nutter, McClennen & Fish (MA)",1985,84.7,19,1,2
"Montgomery, Mccracken, Walker & Rhoads",1985,75.2,20,0.9,1
Ropes & Gray,1985,74.8,21,0.9,1
Rosenman Colin Freund Lewis & Cohen,1985,69.4,22,0.8,2
Bingham Dana & Gould,1985,64.8,23*,0.8,3
"Cravath, Swaine & Moore",1985,64.8,23*,0.8,1
Morgan Lewis & Bockius,1985,62.3,25,0.8,4
O'Melveny & Myers,1985,54.2,26,0.7,2
"Dewey, Ballantine, Bushby, Palmer & Wood",1985,53.2,27,0.6,2
Dechert Price & Rhoads,1985,51.7,28,0.6,1
"Foster, Pepper & Riviera",1985,51.2,29,0.6,2
"Day, Berry & Howard",1985,51,30,0.6,1
"Skadden, Arps, Slate, Meagher & Flom",1985,50.2,31,0.6,2
Foley & Lardner,1985,49.3,32,0.6,1
"Elias, Matz, Tiernan & Herrick",1985,49.2,33,0.6,5
Jones Day Reavis & Pogue,1985,49.1,34,0.6,2
Willkie Farr & Gallagher,1985,48.1,35,0.6,3
Sullivan & Cromwell,1985,45.5,36,0.6,2
Davis Polk & Wardwell,1985,43.4,37,0.5,1
Baker & Hostetler LLP,1985,41.8,38,0.5,2
"Benesch, Friedlander, Coplan & Aronoff",1985,35.6,39,0.4,1
Winston & Strawn,1985,34.6,40,0.4,2
Jenkens & Gilchrist,1985,32.5,41,0.4,2
Cummings & Lockwood,1985,32.4,42,0.4,3
Waddel & Buzzard,1985,32,43,0.4,1
Wilson Sonsini Goodrich & Rosati,1985,30.8,44,0.4,3
"Allen, Matkins, Leck & Mallory LLP",1985,29.8,45,0.4,1
Lane Edson,1985,29.1,46,0.4,1
Kirkland & Ellis,1985,28.8,47,0.3,1
Stockman,1985,27.7,48,0.3,1
Troutman Sanders LLP,1985,27.6,49,0.3,1
Buchanan Ingersoll Professional Corp,1985,27.5,50,0.3,2
Quarles & Brady (WI),1985,25.6,51,0.3,2
"Michael, Best & Friedrich (WI)",1985,25.3,52,0.3,1
Brobeck Phleger & Hantson (CA),1985,25,53,0.3,1
Moore & Peterson (TX),1985,24.9,54,0.3,1
"Mosher, Pooley & Sullivan",1985,24.6,55,0.3,1
Fried Frank Harris Shriver & Jacobson,1985,24.4,56,0.3,1
Hansell & Post,1985,24,57,0.3,1
Sullivan & Worcester LLP,1985,23,58,0.3,1
"Riordan, Caps, Carbone & Mckinze",1985,22.5,59,0.3,1
Alston & Bird,1985,22,60*,0.3,1
Clark & Stant,1985,22,60*,0.3,1
"Schatz, Schatz, Ribicoff & Kotkin (CT)",1985,22,60*,0.3,1
"Graves, Dougherty, Hearon & Moody",1985,20.9,63,0.3,1
"Wood, Lucksinger & Epstein",1985,20.7,64,0.3,1
"Paine, Hamblen, Coffin, Brooke & Miller",1985,20.4,65,0.2,1
"Olwine, Connelly, Chase, O'Donnell",1985,20,66,0.2,1
"Dow, Lohnes & Albertson, (DC)",1985,19.8,67,0.2,1
"Melnicove, Kaufman, Weiner & Smouse",1985,19.6,68,0.2,1
"Miller, Singer & Raives",1985,19.2,69,0.2,1
Davis Hockenberg Wine Brown & Koehn,1985,18.8,70,0.2,1
"Smith, Anderson, Blount, Dorsett",1985,18.4,71,0.2,1
"Blank, Rome, Comisky & Mccauley",1985,18.1,72,0.2,1
Bell Boyd & Lloyd,1985,17,73,0.2,1
"Ireland, Stapleton, Pryor & Pascoe",1985,16.9,74*,0.2,1
Mcdermott Will & Emery,1985,16.9,74*,0.2,1
Gipson Hoffman Pancione,1985,16.5,76*,0.2,1
Kaufman & Obendorfer,1985,16.5,76*,0.2,1
Sachnoff Weaver & Rubenstein,1985,16.5,76*,0.2,1
Stroock & Stroock & Lavan,1985,16.3,79,0.2,2
Individual,1985,16.2,80*,0.2,7
"Peirsol,Borough,Grimm,Bennett & Griffin",1985,16.2,80*,0.2,2
Hecht & Cheney,1985,16.1,82,0.2,1
Faegre & Benson,1985,16,83,0.2,1
Belin Harris Helmick Hearney,1985,15.4,84,0.2,1
Preston Gates & Ellis (WA),1985,15.2,85,0.2,1
Nida & Mulholland,1985,15,86,0.2,1
Gaston Snow & Ely Bartlett,1985,14.6,87*,0.2,2
Holland & Knight LLP,1985,14.6,87*,0.2,1
"Finley, Kumble, Wagner, Heine, Underberg",1985,14.5,89,0.2,2
R.P. Wolf (SC),1985,14.2,90,0.2,2
Baker & Daniels,1985,14,91,0.2,1
"Hill, Betts & Nash",1985,13.5,92,0.2,1
"Choate, Hall & Stewart LLP",1985,12.5,93,0.2,1
Bracewell & Patterson,1985,12.4,94,0.2,1
Rain Harrell Emery Young & Doke,1985,12.3,95,0.2,1
"Stites, McElwain & Fowler (KY)",1985,11.8,96,0.1,1
Baker & Botts,1985,11.7,97*,0.1,1
"Murtha, Collina, Richter & Pinney (CT)",1985,11.7,97*,0.1,1
"Keating, Muething & Klekamp (FL)",1985,11.5,99,0.1,1
"Weissmann, Wolff, Bergman",1985,11.4,100,0.1,1
"Thorp, Reed & Armstrong (PA)",1985,10.9,101,0.1,1
Goodwin Procter & Hoar,1985,10.5,102,0.1,1
"Luce, Forward, Hamilton & Scripps",1985,10.4,103,0.1,1
Bingham Summers Welsh & Spilman,1985,9.6,104,0.1,1
Miller & Darr,1985,9.4,105,0.1,1
Bogle & Gates (WA),1985,8.9,106*,0.1,1
Vargas & Bartlett,1985,8.9,106*,0.1,1
"Cline, Williams, Wright, Johnson & Oldfather",1985,8.8,108*,0.1,1
"Saul, Ewing, Remick & Saul (PA)",1985,8.8,108*,0.1,1
Pillsbury Madison & Sutro,1985,8.6,110,0.1,1
"Bachner, Tally, Polevoy & Misher",1985,8.4,111,0.1,1
"Oppenheimer, Rosenberg, Kelleher & Wheatley",1985,8.3,112,0.1,1
Henderson Daily Withrow & DeVoe,1985,8.1,113*,0.1,1
"Kramer, Levin, Nessen, Kamin & Frankel",1985,8.1,113*,0.1,1
"Jackson, Walker & Winsteed",1985,7.9,115*,0.1,1
"Muldoon, Murphy & Faucette",1985,7.9,115*,0.1,1
Burns Summit Rovins & Feldesman,1985,7.7,117,0.1,2
Cogswell & Wehrle,1985,7.4,118,0.1,1
"Trotter, Smith & Jacobs (GA)",1985,7,119,0.1,1
"Johnson, Bromberg & Leeds",1985,6.9,120*,0.1,1
Lankenau Krauner & Bickford,1985,6.9,120*,0.1,1
Goldstein Goldman Kessler & Underberg,1985,6.4,122,0.1,1
"Reinhart, Boerner, Van Deuren, Norris & Rieselbach",1985,6.3,123,0.1,1
Reavis & McGrath,1985,6.2,124,0.1,1
Mayer Brown & Platt,1985,6.1,125*,0.1,1
"Streich, Lang, Weeks & Cardon (AZ)",1985,6.1,125*,0.1,2
Lowy & Chernis,1985,6,127*,0.1,1
"Snow, Christensen & Martineau (UT)",1985,6,127*,0.1,1
Arnall Golden & Gregory,1985,5.7,129*,0.1,1
Hart & Trinen,1985,5.7,129*,0.1,2
Rafael & Efrati,1985,5.7,129*,0.1,1
"Samuel C Stone & Associates, P.C. (OK)",1985,5.6,132,0.1,1
"Friedlander, Gaines, Cohen, Rosenthal & Rosenberg",1985,5.4,133*,0.1,1
"Hall, Estill, Hardwick, Gable, Golden",1985,5.4,133*,0.1,1
"Akin, Gump, Strauss, Hauer & Feld",1985,5.3,135*,0.1,1
Epstein Becker Borsody & Green,1985,5.3,135*,0.1,1
Olshan Grundman Frome & Rosenzweig,1985,5.2,137*,0.1,1
Schwartzman Weinstock Garelik & Mann,1985,5.2,137*,0.1,1
Cullen and Dykman (NY),1985,5,139*,0.1,1
Smith Moore Smith Schell & Hunter,1985,5,139*,0.1,1
Sutherland Asbill & Brennan LLP,1985,4.8,141,0.1,1
Hogan & Hartson,1985,4.6,142,0.1,1
Goldstein & Axelrod,1985,4.4,143,0.1,1
"Spengler, Nathanson, Heyman, McCathy & Durfee",1985,4.1,144,0.1,1
Steel Hector & Davis (FL),1985,4,145*,0.1,1
Stuzin & Camner,1985,4,145*,0.1,1
Winthrop Stimson Putnam & Roberts,1985,4,145*,0.1,1
"Chadbourne, Parke, Whiteside & Wolff",1985,3.8,148*,0.1,1
Robert M. Rogers,1985,3.8,148*,0.1,1
"Winstead, Sechrest & Minick",1985,3.8,148*,0.1,1
"Burns,Baurmert & Cummings",1985,3.5,151*,0,1
Feit & Ahrens,1985,3.5,151*,0,1
Head & Truhn,1985,3.4,153*,0,1
"Schifino, Fleischer & Neal",1985,3.4,153*,0,1
Brenman Epstein Rashkin & Friedlob,1985,3.3,155*,0,1
Briggs and Morgan (MN),1985,3.3,155*,0,1
"Kaye, Scholer, Fierman, Hays & Handler",1985,3.3,155*,0,1
"Holtzmann,Wise & Shepard",1985,3,158*,0,1
McBride Baker & Coles (IL),1985,3,158*,0,1
Sidley & Austin,1985,3,158*,0,1
"Allen, Dell, Frank & Trinkle",1985,2.9,161*,0,1
Baker & McKenzie,1985,2.9,161*,0,1
"Hillis, Cairncross, Clark & Martin",1985,2.9,161*,0,1
Neill Mullenholz Shaw And Seeger,1985,2.9,161*,0,1
Sherman & Howard (CO),1985,2.9,161*,0,1
"Vineyard, Drake & Miller",1985,2.7,166,0,1
Blau Kramer Wactle & Lieberman,1985,2.5,167,0,1
Frohling & Hanley (NJ),1985,2.4,168*,0,1
Leon W.Tucker (PA),1985,2.4,168*,0,1
"Shapiro, Mortman, Schwartz & Greene",1985,2,170,0,1
Halpern & Druch (MN),1985,1.8,171,0,1
"Mesirov, Gelman, Jaffe, Cramer, & Jamieson (PA)",1985,1.6,172,0,1
Overton,1985,1.4,173,0,1
Bishop Liberman Cook Purcell & Reynold (NV),1985,0.5,174,0,1
Shearman & Sterling,1986,7888.8,1,20.5,3
Wachtell Lipton Rosen & Katz,1986,2550,2,6.6,1
Willkie Farr & Gallagher,1986,1522,3,4,7
Sullivan & Cromwell,1986,1249.8,4,3.2,7
King & Spalding,1986,1178.1,5,3.1,1
Dechert Price & Rhoads,1986,1052.7,6,2.7,4
Gaston Snow & Ely Bartlett,1986,1019.2,7,2.6,7
"Skadden, Arps, Slate, Meagher & Flom",1986,948.6,8,2.5,8
General Counsel,1986,741.6,9,1.9,21
Gibson Dunn & Crutcher,1986,664,10,1.7,9
"Cravath, Swaine & Moore",1986,586,11,1.5,3
Goodwin Procter & Hoar,1986,487.4,12,1.3,15
Rosenman Colin Freund Lewis & Cohen,1986,450.6,13,1.2,2
Davis Polk & Wardwell,1986,437.9,14,1.1,3
Wilson Sonsini Goodrich & Rosati,1986,430.5,15,1.1,10
Kirkpatrick & Lockhart LLP,1986,390.6,16,1,6
Bell Boyd & Lloyd,1986,320.4,17,0.8,1
Corbin Silverman & Sanseverino,1986,320,18,0.8,1
Hale & Dorr LLP,1986,298.7,19,0.8,8
"Keating, Muething & Klekamp (FL)",1986,289.6,20,0.8,3
Gelberg & Abrams,1986,231.6,21,0.6,1
Zimet Haines Moss & Friedman,1986,215,22,0.6,2
Andrews Kurth LLP,1986,198.2,23,0.5,2
Hogan & Hartson,1986,192.2,24,0.5,7
Reavis & McGrath,1986,191.4,25,0.5,6
McGuire Woods Battle & Boothe,1986,180.2,26,0.5,4
"Thacher, Jones, Casey & Ratcliff (CA)",1986,163.6,27,0.4,2
"Elias, Matz, Tiernan & Herrick",1986,163.2,28,0.4,7
"Finley, Kumble, Wagner, Heine, Underberg",1986,154.5,29,0.4,9
Baker & Botts,1986,143,30,0.4,1
Baker & McKenzie,1986,139.8,31,0.4,5
Gardner Carton & Douglas,1986,136.2,32,0.4,2
Sullivan & Worcester LLP,1986,136,33,0.4,3
"Silver, Freedman & Taff",1986,133.3,34,0.4,4
"Day, Berry & Howard",1986,130.7,35,0.3,6
Lane Edson,1986,124.9,36,0.3,4
Stroock & Stroock & Lavan,1986,121.4,37,0.3,3
Drinker Biddle & Reath LLP,1986,116.6,38,0.3,2
"Harris, Beach, Wilcox, Rubin And Levey",1986,115.5,39,0.3,2
O'Melveny & Myers,1986,113.6,40,0.3,4
Fried Frank Harris Shriver & Jacobson,1986,111.5,41,0.3,4
"Spengler, Nathanson, Heyman, McCathy & Durfee",1986,111.2,42,0.3,3
Brobeck Phleger & Hantson (CA),1986,110.8,43,0.3,6
Richards O'Neil & Allegaert (NY),1986,110.4,44,0.3,1
"Dewey, Ballantine, Bushby, Palmer & Wood",1986,109.3,45,0.3,3
"Graves, Dougherty, Hearon & Moody",1986,108.5,46,0.3,1
Moses & Singer (PA),1986,108,47,0.3,1
Latham & Watkins,1986,107.1,48,0.3,4
R.P. Wolf (SC),1986,107,49,0.3,3
Simpson Thacher & Bartlett,1986,101.5,50,0.3,2
Winston & Strawn,1986,100.1,51,0.3,3
"Paul, Weiss",1986,98.3,52,0.3,4
"House, Wallace, & Jewell (AR)",1986,96.7,53,0.3,2
Parker Chapin Flattau & Klimpl,1986,94.5,54,0.3,1
Piper & Marbury,1986,91.3,55,0.2,2
Housley Goldberg & Kantarian,1986,90,56,0.2,7
Jones Day Reavis & Pogue,1986,88.9,57,0.2,3
Weil Gotshal & Manges,1986,88.7,58,0.2,3
Ropes & Gray,1986,87.3,59,0.2,5
Gager Henry & Narkis,1986,85.4,60,0.2,1
Hansell & Post,1986,81.9,61,0.2,1
Kirkland & Ellis,1986,81.7,62,0.2,3
Hughes & Luce LLP,1986,80.3,63,0.2,2
Irell & Manella,1986,77,64,0.2,1
"Miller,Canfield,Paddock",1986,75.7,65,0.2,1
Mayer Brown & Platt,1986,73.9,66,0.2,4
Mcdermott Will & Emery,1986,70.2,67,0.2,1
Honigman Miller Schwartz and Cohn (MI),1986,68.6,68,0.2,3
Brown & Wood,1986,67.3,69,0.2,2
Shidler McBroom Gates & Lucas,1986,65,70,0.2,1
"Blackwell, Walker, Gray, Powers, Flick",1986,64.2,71,0.2,1
Debevoise & Plimpton,1986,63,72,0.2,2
Orrick Herrington & Sutcliffe LLP,1986,61.5,73,0.2,1
"Muldoon, Murphy & Faucette",1986,60.9,74,0.2,2
Morrison & Foerster,1986,60.6,75,0.2,2
McKenna & Co,1986,59.5,76,0.2,3
Shea & Gould,1986,58.1,77,0.2,4
Ballard Spahr Andrews & Ingersoll,1986,57.5,78,0.2,1
Bingham Dana & Gould,1986,57.2,79,0.2,3
Leff & Jensen,1986,56.1,80,0.2,1
Foley Hoag & Eliot LLP,1986,56,81,0.2,4
Cooley Godward Castro Huddleson & Tatum,1986,55.2,82,0.1,2
Breed Abbott & Morgan,1986,54.9,83,0.1,2
Lowenstein Sandler Kohl Fisher & Boylan,1986,54.5,84,0.1,2
Hill & Barlow,1986,54,85,0.1,1
Troutman Sanders LLP,1986,53.9,86,0.1,3
"Wyche, Burgess, Freeman & Parham (SC)",1986,53.1,87,0.1,3
Rain Harrell Emery Young & Doke,1986,52.9,88,0.1,1
"Chadbourne, Parke, Whiteside & Wolff",1986,52,89*,0.1,1
"Klehr, Harrison, Harvey, Branzburg & Ellers",1986,52,89*,0.1,2
Milbank Tweed Hadley & McCloy,1986,51.9,91,0.1,2
"Giordano, Halleran & Ciesla (NJ)",1986,51.8,92,0.1,1
"Davis, Graham & Stubbs",1986,51.7,93,0.1,1
Cummings & Lockwood,1986,51.2,94,0.1,2
Testa Hurwitz & Thibeault,1986,50.9,95,0.1,3
White & Case LLP,1986,47.5,96,0.1,1
Fleischman & Walsh,1986,47.4,97,0.1,1
Haythe & Curley,1986,46.5,98,0.1,3
O Sullivan Graer & Karabell LLP,1986,45,99,0.1,1
"Duane, Morris & Heckscher (PA)",1986,41.3,100,0.1,2
Buchanan Ingersoll Professional Corp,1986,41,101,0.1,1
Robinson & Cole,1986,40.7,102,0.1,2
Oppenheimer Wolff & Donnelly,1986,39.4,103,0.1,2
Bishop Liberman Cook Purcell & Reynold (NV),1986,39.2,104,0.1,3
Epstein & Leahy,1986,39.1,105,0.1,1
"Battle, Fowler, Haffin & Kheel (NY)",1986,39,106,0.1,1
Arnold & Porter,1986,38.8,107,0.1,2
"Bachner, Tally, Polevoy & Misher",1986,38,108,0.1,7
Venable Baetjer & Howard,1986,37.7,109,0.1,1
"Nutter, McClennen & Fish (MA)",1986,37.6,110,0.1,1
Solf,1986,37.5,111,0.1,1
Gipson Hoffman Pancione,1986,37.4,112,0.1,2
Feit & Ahrens,1986,37.3,113,0.1,3
Linde Thomson Fairhild Kohn & Van Dyke (MO),1986,36.7,114,0.1,2
"Cohen, Shapiro, Polisher, Shiekman",1986,36,115,0.1,1
Holme Roberts & Owen,1986,35.8,116,0.1,2
Arent Fox Kintner Plotkin & Kahn,1986,34.8,117,0.1,2
Hughes Hubbard & Reed,1986,34.5,118,0.1,3
"Munger, Tolles & Rickershauser (CA)",1986,34.4,119*,0.1,2
Summit Rovins & Feldesman,1986,34.4,119*,0.1,2
"Mayor, Day & Caldwell & Keeton (TX)",1986,34.3,121,0.1,2
Shereff Friedman Hoffman & Goodman,1986,33.8,122,0.1,2
Reboul MacMurray Hewitt Maynard & Kristol,1986,33.3,123,0.1,2
Palmer and Dodge (MA),1986,32.5,124,0.1,1
Herzog Engstrom Burke Koplovitz (NY),1986,31,125,0.1,1
"Kutak Rock (AZ,CO,DC,GA,NE)",1986,30.8,126,0.1,1
Ware & Freidenrich,1986,29.5,127,0.1,3
"Blank, Rome, Comisky & Mccauley",1986,29.4,128*,0.1,1
Freeborn & Peters,1986,29.4,128*,0.1,1
Fulbright & Jaworski,1986,29,130,0.1,1
"Bolger, Picker & Weiner",1986,28.8,131*,0.1,1
"Choate, Hall & Stewart LLP",1986,28.8,131*,0.1,1
Oppenheimer-F,1986,27.4,133,0.1,1
"Pryor, Cashman, Sherman & Flynn",1986,27.2,134,0.1,3
Alston & Bird,1986,27,135,0.1,2
"Wildman, Harrold, Allen & Dixon (IL)",1986,26.9,136,0.1,1
"Wright, Scott, Blackwell & Powers (SC)",1986,26.5,137,0.1,1
Miller & Darr,1986,26,138,0.1,1
"Paul, Hasting & Janofsky",1986,25.9,139,0.1,2
Cooper-A,1986,25.5,140,0.1,1
