FirmName,Year,EquityBonds Revenue,EquityBonds Rank,EquityBonds Market Share,"EquityBonds Number ofIssues"
General Counsel,1984,22102.8,1,8.3,194
Cleary Gottlieb Steen & Hamilton,1984,8914.1,2,3.4,7
"Cadwalader, Wickersham & Taft",1984,7445.4,3,2.8,8
"Skadden, Arps, Slate, Meagher & Flom",1984,7373.1,4,2.8,10
"Paul, Weiss",1984,5677.3,5,2.1,7
Brown Wood Ivey Mitchell Petty,1984,4926,6,1.9,9
"Thacher, Jones, Casey & Ratcliff (CA)",1984,3985.2,7,1.5,3
"O'Connor, Cavanaugh, Anderson, Westover",1984,3887.4,8,1.5,11
Pillsbury Madison & Sutro,1984,2988.8,9,1.1,2
Honigman Miller Schwartz and Cohn (MI),1984,2718.6,10,1,9
Sullivan & Cromwell,1984,2610.1,11,1,6
"Cravath, Swaine & Moore",1984,1459.4,12,0.6,16
Simpson Thacher & Bartlett,1984,1447.1,13,0.5,10
O'Melveny & Myers,1984,1204.9,14,0.5,10
Thompson & Knight PC,1984,1151.4,15,0.4,4
Reid & Priest,1984,1132.4,16,0.4,9
Eckert Seamans Cherin & Mellot,1984,1116.6,17,0.4,9
"Rubin, Baum, Levin, Constant, Friedman & Bilzin",1984,1098.3,18,0.4,3
Baker & Botts,1984,1089.3,19,0.4,5
Latham & Watkins,1984,1050.8,20,0.4,10
McKenna & Co,1984,883.9,21,0.3,5
Brobeck Phleger & Hantson (CA),1984,866.9,22,0.3,11
Testa Hurwitz & Thibeault,1984,817.4,23,0.3,3
Winston & Strawn,1984,781.2,24,0.3,13
Milbank Tweed Hadley & McCloy,1984,773.3,25,0.3,5
"Kaye, Scholer, Fierman, Hays & Handler",1984,768.5,26,0.3,32
Gibson Dunn & Crutcher,1984,741.8,27,0.3,9
Drinker Biddle & Reath LLP,1984,739.7,28,0.3,6
Burke-B,1984,598.2,29,0.2,1
"Dewey, Ballantine, Bushby, Palmer & Wood",1984,549.8,30,0.2,8
Kirkland & Ellis,1984,507.8,31,0.2,6
Isham Lincoln & Beale,1984,424.8,32,0.2,2
Shearman & Sterling,1984,421.6,33,0.2,6
Sidley & Austin,1984,412.5,34,0.2,6
Vinson & Elkins LLP,1984,399.7,35,0.2,5
Weil Gotshal & Manges,1984,394.6,36,0.2,1
Debevoise & Plimpton,1984,361,37,0.1,2
Davis Polk & Wardwell,1984,349.1,38,0.1,2
Troutman Sanders LLP,1984,348.6,39,0.1,2
Hill Wynne Troop & Meisinger,1984,331.2,40,0.1,3
"Trotter, Smith & Jacobs (GA)",1984,300,41,0.1,1
"Huber, Lawrence & Abell",1984,299.4,42,0.1,2
Faegre & Benson,1984,297.3,43,0.1,5
Piper & Marbury,1984,289.5,44,0.1,16
Orrick Herrington & Sutcliffe LLP,1984,250.4,45,0.1,7
Chapman & Cutler,1984,250,46*,0.1,3
"Greenbaum, Rowe, Smith, Ravin, Davis & Himmel",1984,250,46*,0.1,2
Baker & Daniels,1984,247,48,0.1,4
"Ogden, Robertson & Marshall",1984,235,49,0.1,2
Willkie Farr & Gallagher,1984,234.8,50,0.1,5
Pechner Dorfman Wolffe Rounick & Cabot,1984,227.3,51,0.1,2
Edwards & Angell,1984,224.9,52,0.1,4
Wachtell Lipton Rosen & Katz,1984,209.9,53,0.1,3
Lord Day & Lord,1984,206.6,54,0.1,2
Whitman & Ransom,1984,205.4,55,0.1,2
Moore & Peterson,1984,200,56,0.1,1
Cahill Gordon & Reindel,1984,197.3,57,0.1,4
Monroe & Lemann,1984,189.6,58,0.1,3
Rain Harrell Emery Young & Doke,1984,180,59,0.1,1
Jones Day Reavis & Pogue,1984,175.7,60,0.1,4
Snell & Wilmer,1984,174.5,61,0.1,3
Dorsey & Whitney LLP,1984,172.8,62,0.1,4
Goodwin Procter & Hoar,1984,167.3,63,0.1,4
"Orgain, Bell & Tucker",1984,166,64,0.1,2
Sonnenschein Carlin Nath & Rosenthal,1984,158.7,65,0.1,3
Fulbright & Jaworski,1984,156.9,66,0.1,2
LeBoeuf Lamb Leiby & MacRae,1984,152.9,67,0.1,3
"Buchalter, Nemer, Fields, Chrystie",1984,150,68,0.1,2
Russell E. Mahoney,1984,149.7,69,0.1,1
Ropes & Gray,1984,149.2,70,0.1,6
Mayer Brown & Platt,1984,148.3,71,0.1,2
"Benesch, Friedlander, Coplan & Aronoff",1984,147.2,72,0.1,2
Gaston Snow & Ely Bartlett,1984,144.8,73,0.1,4
Friedman & Koven (IL),1984,138.4,74,0.1,2
Arent Fox Kintner Plotkin & Kahn,1984,134.8,75,0.1,2
Cummings & Lockwood,1984,131.9,76,0.1,1
Lapin,1984,130,77,0.1,2
Steel Hector & Davis (FL),1984,124.1,78,0.1,1
"Sulloway, Hollis & Soden (NH)",1984,123.5,79,0.1,1
Hogan & Hartson,1984,121.7,80,0.1,5
Pacht,1984,121.4,81,0.1,2
Munger Tolles & Olson,1984,119.7,82,0,2
Robert M. Rogers,1984,117.6,83,0,3
Brenman Epstein Rashkin & Friedlob,1984,116.2,84,0,3
Fuller & Henry,1984,115.8,85,0,2
Johnson & Swanson,1984,115.6,86,0,4
Kirkpatrick & Lockhart LLP,1984,110.7,87,0,6
Reboul MacMurray Hewitt Maynard & Kristol,1984,109.5,88,0,3
"Chadbourne, Parke, Whiteside & Wolff",1984,100,89*,0,1
Gipson Hoffman Pancione,1984,100,89*,0,2
Graham & Dunn,1984,99.9,91,0,1
"Loeb, Loeb & Hess",1984,99.8,92,0,1
Hopkins & Sutter,1984,99.5,93*,0,1
Lindquist & Vennum,1984,99.5,93*,0,1
Jones-J,1984,98.2,95,0,1
Perkins Coie,1984,90,96,0,3
"Thompson, Hine & Flory",1984,89.3,97,0,2
"Choate, Hall & Stewart LLP",1984,87.3,98,0,2
Stoel Rives Boley Jones & Grey,1984,85.8,99,0,2
"Elias, Matz, Tiernan & Herrick",1984,84.3,100,0,7
Lillick & McHose,1984,82.9,101,0,1
"Hill, Betts & Nash",1984,81.6,102,0,1
Wilson Sonsini Goodrich & Rosati,1984,80.7,103,0,5
"Memel, Jacobs, Pierno & Gersh (CA)",1984,80,104,0,1
Colton & Boykin,1984,78.6,105,0,3
"Freedman, Levy, Kroll & Sidmonds",1984,75,106*,0,1
"Kemp, Smith, Duncan & Hammond",1984,75,106*,0,1
"Munger, Tolles & Rickershauser (CA)",1984,75,106*,0,1
Stevens & Lee P.C.,1984,74.4,109,0,1
Gardere & Wynne,1984,71.3,110,0,3
Stroock & Stroock & Lavan,1984,70,111,0,3
Barnes & Thornburg,1984,69.7,112,0,1
R.P. Wolf (SC),1984,69,113,0,3
Shereff Friedman Hoffman & Goodman,1984,65.5,114,0,1
Turner-H,1984,64.8,115,0,1
Bracewell & Patterson,1984,60,116,0,1
McGuire Woods Battle & Boothe,1984,59.8,117*,0,2
"Paine, Hamblen, Coffin, Brooke & Miller",1984,59.8,117*,0,1
"Finley, Kumble, Wagner, Heine, Underberg",1984,58.1,119*,0,3
Hale & Dorr LLP,1984,58.1,119*,0,2
Bryan Cave LLP,1984,55,121,0,1
"Greenberg, Traurig, Askew",1984,53.1,122,0,3
"Muldoon, Murphy & Faucette",1984,51.1,123,0,5
Robinson & Cole,1984,50.5,124,0,1
Esgh,1984,50,125*,0,1
"Helms, Mulliss & Johnston (NC)",1984,50,125*,0,1
Lane Powell Moss & Miller,1984,50,125*,0,1
Reed & Reed P.C.,1984,49.9,128,0,1
Curtis Mallet-Prevost Colt & Mosle,1984,49.8,129*,0,1
Mudge Rose Gutherie Alexander & Ferdon,1984,49.8,129*,0,1
Ray-Q,1984,49.8,129*,0,1
"Kent, Watts & Dorden",1984,49.7,132,0,1
Peabody & Brown,1984,49.4,133,0,1
"Rudin, Richman & Appel",1984,48.1,134,0,2
Vargas & Bartlett,1984,47.9,135,0,1
"Riordan, Caps, Carbone & Mckinze",1984,47.1,136,0,2
Reavis & McGrath,1984,46.7,137,0,1
Sherman & Howard (CO),1984,45,138,0,1
"Lewitt,Hackman,Hoefflin,Shapir",1984,44.6,139,0,1
Holland & Knight LLP,1984,44,140,0,1
Schupak,1984,43.3,141,0,2
Tolins & Lowenfels,1984,40.9,142,0,3
Arnold & Porter,1984,40,143*,0,1
Haynes & Boone,1984,40,143*,0,1
Sachs & Phelps,1984,40,143*,0,1
Seikel,1984,40,143*,0,1
Squadron Ellenoff Plesent & Lehrer,1984,40,143*,0,1
Rosenfeld Meyer & Sussman,1984,39.5,148,0,1
Blackwell Sanders Matheny Weary & Lombardi,1984,39.4,149,0,1
Buchanan Ingersoll Professional Corp,1984,37.5,150,0,1
Schiff Hardin & Waite,1984,36.8,151,0,1
Ware & Freidenrich,1984,35,152*,0,2
"Wise, Carter, Child & Caraway",1984,35,152*,0,1
"Memel, Jacobs & Ellsworth",1984,34.5,154,0,1
Bell Boyd & Lloyd,1984,33.7,155,0,2
Jones Walker Waechter Poitevent Carrere & Denegre,1984,32,156,0,1
"Coolidge, Wall, Womsley & Lombard",1984,31.3,157,0,1
"Davis, Graham & Stubbs",1984,31.2,158,0,1
Kindel & Anderson (CA),1984,30.5,159,0,2
Lukas,1984,30,160*,0,1
Stradling Yocca Carlson & Rauth,1984,30,160*,0,1
"Bondurant, Miller & Stephenson",1984,29.8,162*,0,1
Gallop Johnson & Newman (MO),1984,29.8,162*,0,1
Housley Goldberg & Kantarian,1984,29.5,164,0,6
Murphy & Posner (AZ),1984,29.1,165,0,2
Hansell & Post,1984,29,166,0,2
Heller Ehrman White & McAuliffe,1984,28.7,167,0,2
"Arvey, Hodes,Costello & Burma",1984,27.3,168,0,2
Godfrey & Kahn,1984,27,169,0,1
Mcdermott Will & Emery,1984,26.9,170,0,1
"Freshman, Marantz, Orlanski, Cooper",1984,26,171,0,3
Beveridge,1984,25.5,172,0,1
Baker & Hostetler LLP,1984,25.4,173,0,3
Blau Kramer Wactle & Lieberman,1984,25,174*,0,1
"Childs, Fortenback, Beck*",1984,25,174*,0,1
Hughes Hubbard & Reed,1984,25,174*,0,1
"Jackson, Walker & Winsteed",1984,25,174*,0,1
McCARTHY-D,1984,25,174*,0,2
"Day, Berry & Howard",1984,24.3,179,0,1
Wagner-W,1984,24.1,180,0,2
Coudert Brothers,1984,23.2,181,0,1
"Hall, Mcnicol, Hamilton & Clark",1984,23,182,0,1
Porter Wright Morris & Arthur,1984,22.2,183,0,2
Cooley Godward Castro Huddleson & Tatum,1984,21.3,184,0,2
Briggs and Morgan (MN),1984,20.9,185*,0,1
"Calfee, Halter & Griswold (OH)",1984,20.9,185*,0,1
Hutchins & Wheeler,1984,20.3,187,0,2
Dechert Price & Rhoads,1984,20,188*,0,2
"Halperin, Schivitz, Eisenberg, Schneider",1984,20,188*,0,1
"Nutter, McClennen & Fish (MA)",1984,20,188*,0,1
"Otterbourg, Steindler, Houston & Rosen",1984,19.9,191,0,1
Nordman Cormany Hair & Compton (CA),1984,19.2,192,0,1
"Akin, Gump, Strauss, Hauer & Feld",1984,18.7,193,0,4
Gray Cary Ames & Frye,1984,18.3,194,0,2
Lord Bissell & Brook,1984,17.8,195,0,1
Miller & Martin,1984,17.7,196,0,1
Haight Gardner Poor & Havens,1984,17,197*,0,1
"Spengler, Nathanson, Heyman, McCathy & Durfee",1984,17,197*,0,5
"Windels Marx Lane & Mittendorf, LLP",1984,16.5,199,0,2
"Hopkins, Mitchell & Carley",1984,16.1,200,0,1
General Counsel,1985,52620,1,11.8,308
Cleary Gottlieb Steen & Hamilton,1985,10067.7,2,2.3,19
"Cadwalader, Wickersham & Taft",1985,8142.8,3,1.8,9
Brown Wood Ivey Mitchell Petty,1985,5799.5,4,1.3,19
Orrick Herrington & Sutcliffe LLP,1985,5117.9,5,1.1,21
"Skadden, Arps, Slate, Meagher & Flom",1985,5107.1,6,1.1,26
"O'Connor, Cavanaugh, Anderson, Westover",1985,4322.6,7,1,15
Latham & Watkins,1985,3974,8,0.9,16
Hunton & Williams,1985,3543.2,9,0.8,17
McKenna & Co,1985,2951.9,10,0.7,13
"Cravath, Swaine & Moore",1985,2675.1,11,0.6,16
Thompson & Knight PC,1985,2661.2,12,0.6,8
Honigman Miller Schwartz and Cohn (MI),1985,2633,13,0.6,13
O'Melveny & Myers,1985,2283,14,0.5,15
Simpson Thacher & Bartlett,1985,2220.9,15,0.5,12
Gibson Dunn & Crutcher,1985,2095.7,16,0.5,14
Mcdermott Will & Emery,1985,1879.9,17,0.4,5
Milbank Tweed Hadley & McCloy,1985,1849.4,18,0.4,6
Davis Polk & Wardwell,1985,1666.6,19,0.4,7
Fried Frank Harris Shriver & Jacobson,1985,1624.5,20,0.4,5
Reid & Priest,1985,1463.3,21,0.3,19
"Conboy, Hewitt, O'Brien & Boardmen",1985,1447,22,0.3,2
Kirkpatrick & Lockhart LLP,1985,1441.1,23,0.3,2
"Paul, Weiss",1985,1403.4,24,0.3,8
Baker & Botts,1985,1252.4,25,0.3,9
Eckert Seamans Cherin & Mellot,1985,1226.5,26,0.3,20
Chapman & Cutler,1985,1183.4,27,0.3,7
Hughes & Luce LLP,1985,1143,28,0.3,6
Jones Day Reavis & Pogue,1985,1124,29,0.3,18
Sullivan & Cromwell,1985,1080.4,30,0.2,12
Winston & Strawn,1985,1068.6,31,0.2,9
Wachtell Lipton Rosen & Katz,1985,1063.4,32,0.2,4
"Kaye, Scholer, Fierman, Hays & Handler",1985,987.3,33,0.2,23
Morgan Lewis & Bockius,1985,973.6,34,0.2,14
Pillsbury Madison & Sutro,1985,925.9,35,0.2,5
"Benesch, Friedlander, Coplan & Aronoff",1985,912.9,36,0.2,6
Irell & Manella,1985,875.3,37,0.2,3
Pechner Dorfman Wolffe Rounick & Cabot,1985,859.6,38,0.2,2
Andrews Kurth LLP,1985,827.1,39,0.2,9
Kirkland & Ellis,1985,746.4,40,0.2,8
Hughes Hubbard & Reed,1985,737.2,41,0.2,7
Isham Lincoln & Beale,1985,731.9,42,0.2,2
"Trenam, Simmons, Kemker, Scharf, Barkin",1985,731.6,43,0.2,2
Vinson & Elkins LLP,1985,674.6,44,0.2,6
Ropes & Gray,1985,670.3,45,0.2,7
"Dewey, Ballantine, Bushby, Palmer & Wood",1985,642.3,46,0.1,8
Sutherland Asbill & Brennan LLP,1985,590.2,47,0.1,5
Debevoise & Plimpton,1985,578.9,48,0.1,4
Snell & Wilmer,1985,574.4,49,0.1,5
"Brownstein,Zeidman & Schomer",1985,557.4,50,0.1,1
Reed & Reed P.C.,1985,543.8,51,0.1,4
"Munger, Tolles & Rickershauser (CA)",1985,509,52,0.1,4
Faegre & Benson,1985,505.3,53,0.1,7
Heller Ehrman White & McAuliffe,1985,504.9,54,0.1,3
Dickinson Wright Moon Van Dusen,1985,498.1,55,0.1,3
"Hall, Dickler, Lawler, Kent & Friedman",1985,497.8,56,0.1,2
Weil Gotshal & Manges,1985,475,57,0.1,2
Reboul MacMurray Hewitt Maynard & Kristol,1985,449,58,0.1,5
Sullivan & Worcester LLP,1985,447,59,0.1,3
Dorsey & Whitney LLP,1985,433,60,0.1,4
Drinker Biddle & Reath LLP,1985,428.9,61,0.1,6
Bell Boyd & Lloyd,1985,415.7,62,0.1,5
Reavis & McGrath,1985,407.8,63,0.1,3
Foley & Lardner,1985,400.5,64,0.1,11
Willkie Farr & Gallagher,1985,384.7,65,0.1,9
McGuire Woods Battle & Boothe,1985,383.4,66,0.1,2
Gardner Carton & Douglas,1985,383,67,0.1,3
Brobeck Phleger & Hantson (CA),1985,378.3,68,0.1,6
Proskauer Rose Goetz & Mendelson,1985,359.7,69,0.1,3
White & Case LLP,1985,348.3,70,0.1,4
Gottlieb & Schwartz,1985,347.7,71,0.1,1
Piper & Marbury,1985,345.3,72,0.1,16
"Chadbourne, Parke, Whiteside & Wolff",1985,339.9,73,0.1,3
"Schatz, Schatz, Ribicoff & Kotkin (CT)",1985,332,74,0.1,5
Satterlee & Stephens,1985,327,75,0.1,2
"Kaplan, Strangis & Kaplan",1985,316.1,76,0.1,2
Alston & Bird,1985,308.4,77,0.1,4
Lindquist & Vennum,1985,307.5,78,0.1,3
"Helms, Mulliss & Johnston (NC)",1985,270.1,79,0.1,4
Baker & Daniels,1985,268.3,80,0.1,5
Arent Fox Kintner Plotkin & Kahn,1985,267.6,81,0.1,2
"Rifkind, Sterling & Levin",1985,263.3,82,0.1,2
"Silver, Freedman & Taff",1985,247.8,83,0.1,4
"Kemp, Smith, Duncan & Hammond",1985,240.3,84,0.1,3
Shea & Gould,1985,238.6,85,0.1,5
Holme Roberts & Owen,1985,226.4,86,0.1,4
"Kramer, Levin, Nessen, Kamin & Frankel",1985,222.2,87,0.1,4
"Orgain, Bell & Tucker",1985,215.9,88,0.1,3
Waring & Cox,1985,212,89,0.1,2
Leff & Mason,1985,209.5,90,0.1,2
"Streich, Lang, Weeks & Cardon (AZ)",1985,207.7,91,0.1,5
Hansell & Post,1985,200.8,92,0,6
Lord Day & Lord,1985,199.3,93,0,2
Drake & Whiteley,1985,199.2,94*,0,1
Hiscock & Barclay (NY),1985,199.2,94*,0,1
Cavalero (CA),1985,195.6,96,0,1
R.P. Wolf (SC),1985,193,97,0,5
Goodwin Procter & Hoar,1985,187.7,98,0,4
Housley Goldberg & Kantarian,1985,181.7,99,0,9
Troutman Sanders LLP,1985,177.6,100,0,4
Stinson Mag & Fizzell,1985,176.8,101,0,2
"Huber, Lawrence & Abell",1985,174.8,102,0,2
"Ulmer, Berne, Laronge, Glickman & Curtis",1985,174.7,103,0,2
"Eichhorn, Eichhorn & Link (IN)",1985,169.6,104,0,1
Keleher & Mcleod,1985,163.2,105,0,1
"Olwine, Connelly, Chase, O'Donnell",1985,161,106,0,3
"Nutter, McClennen & Fish (MA)",1985,159.7,107,0,4
Arnold & Porter,1985,154.8,108,0,2
Rose Law Firm,1985,154.6,109,0,4
"Finley, Kumble, Wagner, Heine, Underberg",1985,150.6,110,0,6
Morris Nichols Arsht & Tunnell,1985,150,111,0,2
Squire Sanders & Dempsey (US) LLP,1985,149.9,112,0,2
"Greenbaum, Rowe, Smith, Ravin, Davis & Himmel",1985,149.8,113,0,2
Wilson Sonsini Goodrich & Rosati,1985,149.3,114,0,6
"Freytag, Laforce, Rubinstein & Teofan",1985,146,115,0,1
Baker & Hostetler LLP,1985,141.4,116,0,5
Conner & Winters,1985,139.9,117,0,3
"Elias, Matz, Tiernan & Herrick",1985,139.2,118,0,8
"Shook, Hardy & Bacon (MO)",1985,139.1,119,0,5
"Montgomery, Mccracken, Walker & Rhoads",1985,135.2,120,0,2
Stoel Rives Boley Jones & Grey,1985,132.8,121,0,2
Schiff Hardin & Waite,1985,129.5,122,0,2
"Fenwick, Davis & West",1985,129.2,123,0,2
"Miro, Miro & Weiner",1985,128.4,124,0,1
Munger Tolles & Olson,1985,126.4,125,0,2
Rosenman Colin Freund Lewis & Cohen,1985,126.2,126,0,3
King & Spalding,1985,124.8,127,0,1
"Foster, Pepper & Riviera",1985,124.5,128*,0,5
"Shackleford, Farrior, Stallings & Evans",1985,124.5,128*,0,1
"Carro, Spanbock, Londin, Fass & Geller (NY)",1985,124.1,130*,0,1
Lane Edson,1985,124.1,130*,0,3
Sidley & Austin,1985,123.2,132,0,3
Gould & Willkie,1985,121.8,133,0,2
Tyler Cooper & Alcorn,1985,120.5,134,0,2
Lord Bissell & Brook,1985,116.9,135,0,3
Stroock & Stroock & Lavan,1985,110.5,136,0,5
"Saul, Ewing, Remick & Saul (PA)",1985,108.2,137,0,4
Edwards & Angell,1985,107.8,138,0,4
Stradling Yocca Carlson & Rauth,1985,107.5,139,0,4
Hale & Dorr LLP,1985,107.2,140,0,3
"Argue, Freston, Pearson, Harbi",1985,106.4,141,0,1
"Weinberg, Zipser, Arbiter, Heller",1985,104.4,142,0,2
"Spengler, Nathanson, Heyman, McCathy & Durfee",1985,103.9,143,0,6
Lowenstein Sandler Kohl Fisher & Boylan,1985,103.6,144,0,2
Ware & Freidenrich,1985,101.6,145,0,3
"Day, Berry & Howard",1985,100.3,146,0,2
O Sullivan Graer & Karabell LLP,1985,100,147*,0,1
Quarles & Brady,1985,100,147*,0,1
"Thacher, Jones, Casey & Ratcliff (CA)",1985,100,147*,0,1
Graham & Dunn,1985,99.9,150,0,1
Lurie & Hertzberg (CA),1985,98.6,151,0,1
"Vorys, Sater, Seymour & Pease",1985,94.8,152,0,2
Brenman Epstein Rashkin & Friedlob,1985,93.5,153,0,5
Lanier Shaving & Herring,1985,90.3,154,0,1
Fuller & Henry,1985,90,155,0,2
Dechert Price & Rhoads,1985,88.2,156,0,2
Baker & McKenzie,1985,88.1,157,0,3
"Bondurant, Miller & Stephenson",1985,88,158,0,2
Bracewell & Patterson,1985,87.4,159,0,2
"Thompson, Hine & Flory",1985,87,160,0,2
"Law, Snakard & Gambill",1985,84.8,161,0,1
Gaston Snow Beekman Bogue,1985,84.5,162,0,1
Murphy & Posner (AZ),1985,79.7,163,0,1
Katten Muchin & Zavis (Borge & Pitt-IL),1985,78.1,164,0,2
"Blaxter, Oneill, Houston & Nash",1985,75,165*,0,1
Lane Powell Moss & Miller,1985,75,165*,0,1
"Mayor, Day & Caldwell & Keeton (TX)",1985,75,165*,0,1
Moot & Sprague,1985,75,165*,0,1
Willcox Savage Dickson Hollis & Eley (VA),1985,74.8,169,0,1
"Locke, Purnell, Boren, Laney, and Neely (TX)",1985,74.7,170,0,2
Covington & Burling,1985,74.6,171*,0,1
"Semmes, Bowen & Semmes (MD)",1985,74.6,171*,0,1
Kindel & Anderson (CA),1985,74.4,173,0,1
Quarles & Brady (WI),1985,73.9,174,0,4
Johnson & Swanson,1985,72.5,175,0,4
"Nixon, Yow, Waller & Capers (GA)",1985,70.5,176,0,3
McAfee & Taft,1985,70.1,177,0,2
Gray Cary Ames & Frye,1985,70,178,0,1
Bingham Dana & Gould,1985,69.5,179,0,4
Gelberg & Abrams,1985,69.1,180,0,2
Silver & Solomon,1985,69,181,0,1
LeBoeuf Lamb Leiby & MacRae,1985,68.4,182,0,2
Barnes & Thornburg,1985,65.6,183,0,2
"Paine, Hamblen, Coffin, Brooke & Miller",1985,65.4,184,0,2
"Freedman, Levy, Kroll & Sidmonds",1985,65,185,0,2
"Poyner, Geraghty, Hartsfield & Townsend",1985,63.5,186,0,2
"Fox, Rothschild, O'Brien & Frankel",1985,60,187*,0,2
Maslon Edelman Borman & Brand,1985,60,187*,0,1
Godfrey & Kahn,1985,59.8,189,0,1
Parker Chapin Flattau & Klimpl,1985,59.6,190,0,2
Hartzog Conger Cason & Hargis,1985,59.4,191,0,1
Rosenfeld Meyer & Sussman,1985,56.8,192,0,2
Stevens & Lee P.C.,1985,56.1,193,0,1
Mayer Brown & Platt,1985,56,194,0,2
"Graves, Dougherty, Hearon & Moody",1985,55.9,195,0,2
"Shumaker, Loop & Kendrick (OH)",1985,54.9,196,0,2
Donovan Leisure Newton & Irvine,1985,54.8,197,0,2
Haynes & Boone,1985,54.6,198,0,2
"Lewitt,Hackman,Hoefflin,Shapir",1985,54.2,199,0,1
Kilpatrick & Cody,1985,53.7,200,0,2
General Counsel,1986,102676.5,1,10.5,508
Cleary Gottlieb Steen & Hamilton,1986,54526.9,2,5.6,58
"Skadden, Arps, Slate, Meagher & Flom",1986,47397,3,4.9,85
"Cadwalader, Wickersham & Taft",1986,40823.2,4,4.2,38
Latham & Watkins,1986,14390.7,5,1.5,18
Hunton & Williams,1986,12705.3,6,1.3,33
O'Melveny & Myers,1986,11206.4,7,1.2,46
Brown & Wood,1986,11173.4,8,1.1,19
"O'Connor, Cavanaugh, Anderson, Westover",1986,8768.5,9,0.9,24
Troutman Sanders LLP,1986,8102.3,10,0.8,11
Stinson Mag & Fizzell,1986,6879.4,11,0.7,4
Honigman Miller Schwartz and Cohn (MI),1986,6058.1,12,0.6,16
Sullivan & Cromwell,1986,5292.7,13,0.5,30
Reid & Priest,1986,4699.3,14,0.5,21
Wachtell Lipton Rosen & Katz,1986,4428.5,15,0.5,9
"Cravath, Swaine & Moore",1986,4105.7,16,0.4,23
Chapman & Cutler,1986,4014.7,17,0.4,10
"Locke, Purnell, Boren, Laney, and Neely (TX)",1986,3511.3,18,0.4,6
Gibson Dunn & Crutcher,1986,3497.1,19,0.4,32
"Mayor, Day & Caldwell & Keeton (TX)",1986,3244.9,20,0.3,7
Sutherland Asbill & Brennan LLP,1986,3053,21,0.3,8
Baker & Botts,1986,3008.9,22,0.3,14
Eckert Seamans Cherin & Mellot,1986,2591,23,0.3,22
"Benesch, Friedlander, Coplan & Aronoff",1986,2568.6,24,0.3,4
Davis Polk & Wardwell,1986,2540.2,25,0.3,18
Simpson Thacher & Bartlett,1986,2317.8,26,0.2,19
"Kramer, Levin, Nessen, Kamin & Frankel",1986,2216.8,27,0.2,3
Keleher & Mcleod,1986,2195.5,28,0.2,3
Willkie Farr & Gallagher,1986,2121.4,29,0.2,14
White & Case LLP,1986,2026.4,30,0.2,9
"Kutak Rock (AZ,CO,DC,GA,NE)",1986,1967.4,31,0.2,3
Thompson & Knight PC,1986,1933.4,32,0.2,7
"Winstead, Sechrest & Minick",1986,1769.1,33,0.2,3
"Trotter, Smith & Jacobs (GA)",1986,1757,34,0.2,6
Brobeck Phleger & Hantson (CA),1986,1713.9,35,0.2,18
Kirkland & Ellis,1986,1692.3,36,0.2,11
Cahill Gordon & Reindel,1986,1670.8,37,0.2,9
Jones Day Reavis & Pogue,1986,1615.6,38,0.2,22
Shearman & Sterling,1986,1610.8,39,0.2,11
Hughes Hubbard & Reed,1986,1610.2,40,0.2,15
"Berick,Pearlman & Mills",1986,1568.7,41,0.2,3
"Paul, Weiss",1986,1543.9,42,0.2,18
Irell & Manella,1986,1508.4,43,0.2,5
Morrison & Foerster,1986,1478.2,44,0.2,9
Gaston Snow & Ely Bartlett,1986,1425.8,45,0.2,14
Ropes & Gray,1986,1391.9,46,0.1,17
Orrick Herrington & Sutcliffe LLP,1986,1378.8,47,0.1,15
Weil Gotshal & Manges,1986,1314.9,48,0.1,9
King & Spalding,1986,1253,49,0.1,2
Squadron Ellenoff Plesent & Lehrer,1986,1240.7,50,0.1,3
Dechert Price & Rhoads,1986,1114.4,51,0.1,6
Pillsbury Madison & Sutro,1986,1107,52,0.1,9
"Nixon, Yow, Waller & Capers (GA)",1986,1082.6,53,0.1,6
Isham Lincoln & Beale,1986,1060.8,54,0.1,7
Mcdermott Will & Emery,1986,1014.5,55,0.1,9
"Hall, Dickler, Lawler, Kent & Friedman",1986,996.5,56,0.1,1
"Kemp, Smith, Duncan & Hammond",1986,985.2,57,0.1,3
Vinson & Elkins LLP,1986,966.4,58,0.1,11
Perkins Coie,1986,938,59,0.1,5
Winston & Strawn,1986,914.1,60,0.1,11
Stroock & Stroock & Lavan,1986,909.3,61,0.1,11
Faegre & Benson,1986,906.7,62,0.1,11
Shea & Gould,1986,904.8,63,0.1,13
Dorsey & Whitney LLP,1986,895,64,0.1,14
Wilson Sonsini Goodrich & Rosati,1986,881.5,65,0.1,22
"Dewey, Ballantine, Bushby, Palmer & Wood",1986,850.5,66,0.1,12
Bell Boyd & Lloyd,1986,839.9,67,0.1,7
Colton & Boykin,1986,834.1,68,0.1,2
Pechner Dorfman Wolffe Rounick & Cabot,1986,826.2,69,0.1,5
"Wyman, Bautzer, Christensen, Kuchel & Silbert",1986,800,70,0.1,1
Burke Haber,1986,798.2,71,0.1,1
"Watson, Gammons & Fees (AL)",1986,785.2,72,0.1,1
Sidley & Austin,1986,781.1,73,0.1,8
Debevoise & Plimpton,1986,777.8,74,0.1,9
Schiff Hardin & Waite,1986,765.5,75,0.1,11
Piper & Marbury,1986,764.8,76,0.1,16
Jenner & Block,1986,759.3,77,0.1,3
Rosenman Colin Freund Lewis & Cohen,1986,742.4,78,0.1,5
"Jackson, Walker & Winsteed",1986,733.2,79,0.1,3
