FirmName,Year,MnA Revenue,MnA Rank,MnA Market Share,Mna Num Of Deals
Individual,1991,2719.7,20,1.9,14
Morgan Lewis & Bockius,1991,2613.1,21,1.8,4
Fleischman & Walsh,1991,2464,22,1.7,1
Jones Day Reavis & Pogue,1991,2102.3,23,1.4,8
Weil Gotshal & Manges,1991,2012.5,24,1.4,7
Holme Roberts & Owen,1991,1713.3,25,1.2,2
"Paul, Weiss",1991,1505.5,26,1,4
"Thompson, Hine & Flory",1991,1474.3,27,1,3
Long Aldridge & Norman LLP,1991,1444,28,1,2
Thompson & Mitchell,1991,1439.2,29,1,3
Sutherland Asbill & Brennan LLP,1991,1401.6,30,1,2
Gibson Dunn & Crutcher,1991,1398.6,31,1,4
Miller & Martin,1991,1383.9,32,1,2
Vinson & Elkins LLP,1991,1353.6,33,0.9,6
Womble Carlyle Sandridge & Rice PLLC,1991,1193.3,34,0.8,2
Mayer Brown & Platt,1991,1181.4,35,0.8,4
Andrews Kurth LLP,1991,1139.6,36,0.8,4
Baker & McKenzie,1991,1101.7,37,0.8,4
"Bodman, Longley & Dahling",1991,1087,38*,0.8,1
"Miller,Canfield,Paddock",1991,1087,38*,0.8,1
Bell Boyd & Lloyd,1991,1083.9,40,0.7,3
Cahill Gordon & Reindel,1991,1070,41,0.7,2
Kirkland & Ellis,1991,1036.3,42,0.7,3
Sidley & Austin,1991,983.6,43,0.7,3
Howrey & Simon,1991,951.5,44,0.7,2
Willkie Farr & Gallagher,1991,945,45,0.7,3
Edwards & Angell,1991,904,46,0.6,3
Wilson Sonsini Goodrich & Rosati,1991,873.5,47,0.6,5
Fulbright & Jaworski,1991,833.8,48,0.6,3
"Sinkler & Boyd, P.A.",1991,816.5,49,0.6,1
Riordan & McKinzie,1991,786.8,50,0.5,3
Brobeck Phleger & Harrison LLP,1991,778.4,51,0.5,6
"Fenwick, Davis & West",1991,764.2,52,0.5,3
Arnold & Porter,1991,724.2,53,0.5,4
Hale & Dorr LLP,1991,723.4,54,0.5,5
"Chadbourne, Parke, Whiteside & Wolff",1991,712,55,0.5,2
Covington & Burling,1991,707.8,56,0.5,2
McCarter & English,1991,670,57,0.5,1
Barnes & Thornburg,1991,655.4,58,0.5,1
Irell & Manella,1991,612.9,59,0.4,2
Morrison & Foerster,1991,584.2,60,0.4,3
Mcdermott Will & Emery,1991,581.5,61,0.4,2
Schiff Hardin & Waite,1991,575.1,62,0.4,1
Howard & Howard,1991,568.9,63,0.4,3
Milbank Tweed Hadley & McCloy,1991,561,64,0.4,2
Sachnoff Weaver & Rubenstein,1991,560.6,65,0.4,1
Dow Lohnes & Albertson,1991,527,66,0.4,2
"Armstrong, Hirsch & Levine",1991,520,67,0.4,1
"Peper, Martin, Jensen Maichel & Hetlege",1991,512,68,0.4,1
Goodman & Goodman,1991,500,69*,0.3,1
Heller Ehrman White & McAuliffe,1991,500,69*,0.3,1
Clifford Chance,1991,493.2,71,0.3,3
Oppemheimer Wolff & Donnelly,1991,487.1,72,0.3,2
Foley & Lardner,1991,484.1,73,0.3,4
Rosenman Colin Freund Lewis & Cohen,1991,475.4,74,0.3,3
Zimet Haines Moss & Friedman,1991,470,75,0.3,1
McGrath North O'Malley & Kratz,1991,464.5,76,0.3,1
"Benesch, Friedlander, Coplan & Aronoff",1991,450,77,0.3,1
Chapman & Cutler,1991,444.8,78,0.3,2
King & Spalding,1991,436.8,79,0.3,2
"Grubman, Indursky, Schindler, Goldstein & Flax",1991,431,80*,0.3,1
Whitman & Ransom,1991,431,80*,0.3,1
Latham & Watkins,1991,419,82,0.3,2
Stroock & Stroock & Lavan,1991,416,83,0.3,1
Liddell Sapp Zivley Hill & Laboon,1991,404.6,84*,0.3,1
"Youngblood, Claycombe & King",1991,404.6,84*,0.3,1
Kelly Hart & Hallman,1991,404.6,84*,0.3,1
"Brownstein,Zeidman & Schomer",1991,404.6,84*,0.3,1
Jones Walker Waechter Poitevent Carrere & Denegre,1991,403.1,88,0.3,2
"Rothgerber, Appel, Powers & Johnson",1991,390.3,89,0.3,1
"Frazier, Frazier & Mahler",1991,376.8,90*,0.3,1
Smith Helms Mulliss & Moore,1991,376.8,90*,0.3,1
Haythe & Curley,1991,353.5,92,0.2,3
Donovan Leisure Newton & Irvine,1991,327.2,93*,0.2,1
Kirkpatrick & Lockhart LLP,1991,327.2,93*,0.2,1
Breed Abbott & Morgan,1991,327.2,93*,0.2,1
Roberts & Finger,1991,326.5,96*,0.2,1
Fox & Horan,1991,326.5,96*,0.2,1
"Ivins, Phillips & Barker",1991,326.5,96*,0.2,1
Quarles & Brady,1991,323.9,99,0.2,2
Drummond,1991,322,100*,0.2,2
Pierce Atwood,1991,322,100*,0.2,2
"Taft, Stettinius & Hollister",1991,319,102*,0.2,1
Troutman Sanders Lockerman & Ashmore,1991,319,102*,0.2,1
"Pryor, Cashman, Sherman & Flynn",1991,302.2,104,0.2,3
"Young,Conaway,Stargatt & Taylor",1991,301.6,105,0.2,2
Winthrop Stimson Putnam & Roberts,1991,300,106,0.2,1
Lane & Waterman,1991,294.9,107,0.2,1
Ashurst Morris Crisp,1991,282.1,108*,0.2,2
White & Case LLP,1991,282.1,108*,0.2,4
Winston & Strawn,1991,281.8,110*,0.2,2
Gary E. Martinelli & Associates,1991,281.8,110*,0.2,1
Neal Gerber & Eisenberg,1991,277.2,112,0.2,1
SJ Berwin,1991,270.9,113,0.2,1
"Dykema, Gossett, Spencer, Goodnow & Trigg",1991,266,114,0.2,1
Dinsmore & Shohl,1991,265.6,115,0.2,2
LeBoeuf Lamb Leiby & MacRae,1991,263.8,116,0.2,1
Hutchins & Wheeler,1991,260,117,0.2,2
Battle Fowler,1991,259,118,0.2,1
"Kaplan, Strangis & Kaplan",1991,253,119,0.2,1
Cooley Godward Castro Huddleson & Tatum,1991,244.6,120,0.2,5
Osler Hoskin & Harcourt LLP,1991,243,121,0.2,1
Rose Law Firm,1991,240.6,122,0.2,1
"Akin, Gump, Strauss, Hauer & Feld",1991,237,123,0.2,4
"Williams, Mullen, Christian & Dobbins",1991,232.8,124*,0.2,1
"Thorp, Reed & Armstrong (PA)",1991,232.8,124*,0.2,1
Coudert Brothers,1991,226.7,126,0.2,3
Preston Thorgrimson Ellis & Holman,1991,219.6,127*,0.2,1
Perkins Coie,1991,219.6,127*,0.2,2
Steel Hector & Davis (FL),1991,211,129,0.1,2
Dickinson Wright Moon Van Dusen,1991,205.3,130*,0.1,1
"Pope, Ballard, Shepard & Fowle",1991,205.3,130*,0.1,1
"Stoll, Keenon & Park",1991,202.8,132,0.1,1
"Keck, Mahin & Cate",1991,200,133,0.1,1
Frere Cholmeley,1991,199.6,134,0.1,1
Fredrikson & Byron,1991,198.8,135,0.1,4
"Braemer, Abelson & Hitchner",1991,198.5,136,0.1,1
Smith & Husley,1991,186.5,137,0.1,4
Ropes & Gray,1991,179.3,138,0.1,3
Townley & Updike,1991,171,139*,0.1,1
Sonnenschein Carlin Nath & Rosenthal,1991,171,139*,0.1,1
Eckert Seamans Cherin & Mellot,1991,168,141,0.1,1
Seward & Kissel,1991,167,142,0.1,1
Hinckley Allen Snyder & Comen,1991,165,143*,0.1,1
Pavia e Ansaldo,1991,165,143*,0.1,1
Wyatt Tarrant & Combs,1991,161,145,0.1,1
Mintz Levin Cohn Ferris & Glovsky,1991,160.1,146,0.1,1
"Kramer, Levin, Nessen, Kamin & Frankel",1991,144.9,147,0.1,2
"Stoel, Rives, Boley, Fraser & Wyse",1991,128.5,148,0.1,1
Nixon Hargrave Devans & Doyle,1991,125,149,0.1,1
"Keating, Muething & Klekamp",1991,107.5,150,0.1,2
"Choate, Hall & Stewart LLP",1991,106,151,0.1,2
Brown & Wood,1991,103.8,152,0.1,1
Hunton & Williams,1991,97.7,153,0.1,2
Vedder Price Kaufman & Kammholz,1991,97,154,0.1,1
"Saul, Ewing, Remick & Saul",1991,95.9,155,0.1,1
"Giordano, Halleran & Ciesla",1991,95.4,156,0.1,1
Thompson & Knight PC,1991,92.6,157,0.1,1
Peabody & Brown,1991,87.7,158,0.1,1
Munger Tolles & Olson,1991,86,159*,0.1,1
"Lewis, Rice & Fingersh",1991,86,159*,0.1,1
Wilmer Cutler & Pickering,1991,81,161,0.1,1
Housley Goldberg & Kantarian,1991,80.8,162,0.1,2
"McDonnell, Boyd, Smith & Solmson",1991,77.4,163*,0.1,1
"Denney,Lackey & Chernau",1991,77.4,163*,0.1,1
Schulte Roth & Zabel LLP,1991,77,165,0.1,3
Godfrey & Kahn,1991,75.9,166,0.1,2
"Kinsella,Boesch,Fujikawa & Towle",1991,72.4,167,0.1,1
Bingham Dana & Gould,1991,71.9,168,0.1,1
Breyer & Zinski,1991,67.9,169*,0.1,1
"Foster, Pepper & Riviera",1991,67.9,169*,0.1,1
"Heller,Horowitz, & Feit",1991,65,171,0,1
"Barack,Ferrazzano,Kirschbaum & Perlman",1991,64.8,172,0,3
"Brooks, Pierce, McLendon, Humphrey & Leonard",1991,62.5,173,0,1
Baer Marks & Upham Inc,1991,60.4,174,0,2
Dann Pecar Newman Talesnick & Kleiman,1991,60,175*,0,1
Sills Beck Cummis Zuckerman & Radin,1991,60,175*,0,1
Werner & Blank Co,1991,56.5,177,0,1
Venable Baetjer & Howard,1991,54.3,178,0,2
Lindquist & Vennum,1991,51.6,179,0,2
Fusco & Newbraugh,1991,48.3,180*,0,1
Buchanan Ingersoll Professional Corp,1991,48.3,180*,0,1
Troy & Gould Professional Corp.,1991,42.6,182,0,1
Balch & Bingham LLP,1991,40.4,183,0,1
Lowenstein Sandler Kohl Fisher & Boylan,1991,40,184,0,1
"Zang, Moohon, Bergel & Vines",1991,38.5,185*,0,2
Agustin Gordillo,1991,38.5,185*,0,2
Jenkens & Gilchrist,1991,38.5,185*,0,2
"Capell, Howard, Knabe & Cobbs",1991,38,188,0,1
"Woods, Aitken, Smith, Greer*",1991,35.7,189,0,1
"Price, Henenveld, Cooper, Dewitt & Litton",1991,35,190*,0,1
Gardner Carton & Douglas,1991,35,190*,0,1
"Law, Weathers & Richardson",1991,35,190*,0,1
Arnall Golden & Gregory,1991,35,190*,0,1
"Boult, Cummings, Conners & Berry",1991,35,190*,0,1
"Galanis,Friedland & Pollack",1991,33.3,195,0,1
Metzger,1991,31.9,196*,0,1
"Schwabe, Williamson, Wyatt, Moore",1991,31.9,196*,0,1
"Venema,Towery,Thompson & Chambliss",1991,30,198,0,1
"Brown, Todd & Heyburn",1991,29,199,0,4
Gray Cary Ames & Frye,1991,28.3,200,0,1
"Skadden, Arps, Slate, Meagher & Flom",1992,21851.6,1,13.5,76
Sullivan & Cromwell,1992,20391.7,2,12.6,34
Wachtell Lipton Rosen & Katz,1992,10399.3,3,6.4,19
Davis Polk & Wardwell,1992,10089.5,4,6.3,9
Shearman & Sterling,1992,9734.8,5,6,50
Fried Frank Harris Shriver & Jacobson,1992,8534.2,6,5.3,11
"Cravath, Swaine & Moore",1992,7648.9,7,4.7,25
Weil Gotshal & Manges,1992,7288.3,8,4.5,11
Simpson Thacher & Bartlett,1992,7215.6,9,4.5,21
Debevoise & Plimpton,1992,5861.4,10,3.6,16
Latham & Watkins,1992,4997.9,11,3.1,8
Jones Day Reavis & Pogue,1992,4801.2,12,3,19
Stinson Mag & Fizzell,1992,3967,13,2.5,1
"Dewey, Ballantine, Bushby, Palmer & Wood",1992,3907.7,14,2.4,5
Cahill Gordon & Reindel,1992,3676.3,15,2.3,5
Milbank Tweed Hadley & McCloy,1992,3589.2,16,2.2,15
Richards Layton & Finger,1992,3413.4,17,2.1,9
King & Spalding,1992,3310.7,18,2.1,5
Weinberg & Green,1992,3050,19,1.9,1
Winthrop Stimson Putnam & Roberts,1992,2945,20,1.8,4
"Paul, Weiss",1992,2778.4,21,1.7,8
LeBoeuf Lamb Leiby & MacRae,1992,2346.3,22,1.5,4
Monroe & Lemann,1992,2281,23*,1.4,1
"Orgain, Bell & Tucker",1992,2281,23*,1.4,1
Reid & Priest,1992,2281,23*,1.4,1
"Akin, Gump, Strauss, Hauer & Feld",1992,2273.7,26,1.4,2
Morris Nichols Arsht & Tunnell,1992,2043.9,27,1.3,5
Cleary Gottlieb Steen & Hamilton,1992,2041.8,28,1.3,14
Dorsey & Whitney LLP,1992,1936.3,29,1.2,4
Andrews Kurth LLP,1992,1909.2,30,1.2,9
Arnold & Porter,1992,1897.2,31,1.2,5
"Bryan, Cave, McPheeters & McRoberts",1992,1673.8,32,1,4
Dechert Price & Rhoads,1992,1618.4,33,1,3
"Taft, Stettinius & Hollister",1992,1591,34,1,2
Alston & Bird,1992,1589.2,35,1,3
Willkie Farr & Gallagher,1992,1565.1,36,1,5
Sommer & Barnard,1992,1548,37*,1,1
"Benesch, Friedlander, Coplan & Aronoff",1992,1548,37*,1,1
Bingham Summers Welsh & Spilman,1992,1548,37*,1,1
Venable Baetjer & Howard,1992,1540,40,1,3
Ropes & Gray,1992,1529.2,41,1,3
Hogan & Hartson,1992,1292.6,42,0.8,2
Gibson Dunn & Crutcher,1992,1289.3,43,0.8,3
Kirkland & Ellis,1992,1264.8,44,0.8,2
Morrison & Foerster,1992,1234.3,45,0.8,3
Shook Hardy & Bacon,1992,1100,46,0.7,1
Clifford Chance,1992,1088.7,47,0.7,2
Ginsburg Feldman & Bress,1992,1084.3,48,0.7,1
Dickinson Wright Moon Van Dusen,1992,986.6,49,0.6,2
"Woods, Rogers & Hazelgrove",1992,934.3,50*,0.6,1
Christian Barton Epps Brent,1992,934.3,50*,0.6,1
Drinker Biddle & Reath LLP,1992,924.8,52,0.6,3
Simmons & Simmons,1992,913,53,0.6,1
Graham & Dunn,1992,889.8,54,0.6,1
Mahoney Adams & Criser PA,1992,882.6,55*,0.6,2
"Macfarlane, Ferguson, Allison & Kelly",1992,882.6,55*,0.6,1
"Dyer, Ellis, Joseph & Mills",1992,846.3,57*,0.5,1
"Nossaman, Guthner, Knox & Eliot",1992,846.3,57*,0.5,1
Powers & Hall,1992,846.3,57*,0.5,1
"Foster, Pepper & Riviera",1992,833,60,0.5,2
Wilson Sonsini Goodrich & Rosati,1992,804.6,61,0.5,7
Baker & McKenzie,1992,784.7,62,0.5,4
Cooley Godward Castro Huddleson & Tatum,1992,763.1,63,0.5,8
"Law, Snakard & Gambill",1992,725.7,64,0.5,1
Jenner & Block,1992,694.5,65,0.4,2
Long Aldridge & Norman LLP,1992,692.6,66,0.4,1
McGuire Woods Battle & Boothe,1992,632.4,67,0.4,4
Preston Thorgrimson Ellis & Holman,1992,609.7,68,0.4,2
Schulte Roth & Zabel LLP,1992,600,69,0.4,1
"Gallop, Johnson & Neuman",1992,598.9,70,0.4,2
Lee Toomey & Kent,1992,589.7,71*,0.4,1
Jeantot Associes,1992,589.7,71*,0.4,1
Slaughter and May,1992,589.7,71*,0.4,1
"Huddleston, Bolen, Beatty, Porter & Copen",1992,583.9,74,0.4,1
Perkins Coie,1992,582.3,75,0.4,2
Godfrey & Kahn,1992,577,76,0.4,1
Smith Lyons Torrance Stevenson & Mayer,1992,559.8,77*,0.4,1
"Tory, Tory, DesLauriers",1992,559.8,77*,0.4,1
O'Melveny & Myers,1992,550,79,0.3,1
Pepper Hamilton & Scheetz,1992,542.9,80,0.3,3
Miller & Martin,1992,536.3,81,0.3,2
White & Case LLP,1992,535.3,82,0.3,5
Vinson & Elkins LLP,1992,514.5,83,0.3,2
Hughes Hubbard & Reed,1992,513.8,84,0.3,4
"Otten Johnson Robinson Neff & Ragonetti,PC",1992,513.3,85,0.3,1
Cameron Markby Hewitt,1992,499,86*,0.3,1
De Brauw Blackstone Westbroek,1992,499,86*,0.3,1
"Fowler,White Burnett,Hurley & Banick",1992,499,86*,0.3,1
Stibbe & Simont,1992,499,86*,0.3,1
Brobeck Phleger & Harrison LLP,1992,491.8,90,0.3,6
Sidley & Austin,1992,475,91,0.3,1
"Keating, Muething & Klekamp",1992,470,92,0.3,1
Kirkpatrick & Lockhart LLP,1992,457.5,93,0.3,2
Bingham Dana & Gould,1992,454,94,0.3,3
Parker Poe Adams & Bernstein,1992,450,95,0.3,1
Lowenstein Sandler Kohl Fisher & Boylan,1992,448.6,96,0.3,1
Baker & Hostetler LLP,1992,414.3,97,0.3,3
"Mundt, MacGregor, Happel, Falconer, Zulauf",1992,412.3,98*,0.3,1
Rose Law Firm,1992,412.3,98*,0.3,1
Squire Sanders & Dempsey (US) LLP,1992,407.2,100,0.3,1
Hunton & Williams,1992,402.7,101,0.3,4
Fulbright & Jaworski,1992,400,102*,0.3,1
Kennedy Covington Lobdell & Hickman,1992,400,102*,0.3,1
Snell & Wilmer,1992,399.5,104*,0.3,1
Moses & Singer,1992,399.5,104*,0.3,1
"Kemp, Smith, Duncan & Hammond",1992,399.5,104*,0.3,1
"Ivins, Phillips & Barker",1992,395,107,0.2,1
"Muldoon, Murphy & Faucette",1992,384.3,108,0.2,4
Johnson & Gibbs,1992,369.3,109,0.2,2
Liddell Sapp Zivley Hill & Laboon,1992,365.7,110,0.2,3
Lewis & Rice,1992,327.9,111,0.2,1
"Thompson, Hine & Flory",1992,318.4,112,0.2,3
Individual,1992,311.1,113,0.2,7
Chapman Tripp,1992,300,114*,0.2,1
Russell McVeagh McKenzie Bartlett & Co,1992,300,114*,0.2,1
Allen Allen & Hemsley,1992,300,114*,0.2,1
Baker & Botts,1992,299.3,117,0.2,3
Loeb & Loeb,1992,295.6,118*,0.2,1
Michael Gardener,1992,295.6,118*,0.2,1
Werbel & Grossman,1992,295.6,118*,0.2,1
"Kaye, Scholer, Fierman, Hays & Handler",1992,295.6,118*,0.2,1
Wilmer Cutler & Pickering,1992,295.6,118*,0.2,1
Housley Goldberg & Kantarian,1992,289.8,123,0.2,6
Buchanan Ingersoll Professional Corp,1992,287.9,124,0.2,1
Gray Plant Mooty,1992,270,125,0.2,1
Sutherland Asbill & Brennan LLP,1992,269,126,0.2,1
"Winstead, Sechrest & Minick",1992,259.4,127*,0.2,1
Brown & Wood,1992,259.4,127*,0.2,1
"Watson, Ess, Marshall & Enggas",1992,258.3,129,0.2,2
Thacher Proffitt & Wood,1992,238.3,130,0.2,2
Mallesons Stephen Jaques,1992,234.8,131*,0.2,1
Clayton Utz,1992,234.8,131*,0.2,1
Powell Goldstein Frazer & Murphy,1992,224.7,133,0.1,3
"Paul, Hastings, Janofsky & Walker",1992,220,134,0.1,1
Oppemheimer Wolff & Donnelly,1992,216,135,0.1,3
Hale & Dorr LLP,1992,212.1,136,0.1,2
Morgan Lewis & Bockius,1992,211.1,137,0.1,3
"Heiskell, Donelson, Bearman, Adams",1992,205.8,138,0.1,3
Robinson & Cole,1992,205.4,139,0.1,1
"Elias, Matz, Tiernan & Herrick",1992,205.1,140,0.1,3
"Serino,Ley,Young & Grumbach",1992,203.7,141,0.1,1
"Frank,Bernstein,Conway & Goldman",1992,202.3,142,0.1,1
Briggs & Morgan,1992,200.9,143,0.1,1
Troutman Sanders Lockerman & Ashmore,1992,197.3,144,0.1,1
"Carrington, Coleman, Sloman & Blumenthal",1992,186.4,145*,0.1,1
Haynes & Boone,1992,186.4,145*,0.1,1
McGrath North O'Malley & Kratz,1992,186.4,145*,0.1,1
Bell Boyd & Lloyd,1992,185,148,0.1,1
Foley & Lardner,1992,180.6,149*,0.1,1
Shaw Pittman Potts & Trowbridge,1992,180.6,149*,0.1,1
"Reinhart, Boerner, Van Deuren, Norris",1992,180.6,149*,0.1,1
Epstein Becker Borsody & Green,1992,175,152,0.1,1
Rosenn Jenkins & Greenwald,1992,173.7,153,0.1,1
Squadron Ellenoff Plesent & Lehrer,1992,170.4,154,0.1,2
"Boyd, MacCrellish & Wheeler",1992,170,155,0.1,1
Miller & Holguin,1992,164.1,156*,0.1,1
Pillsbury Madison & Sutro,1992,164.1,156*,0.1,1
Stradling Yocca Carlson & Rauth,1992,164,158,0.1,1
Barnes & Thornburg,1992,163.9,159,0.1,1
Cummings & Lockwood,1992,158.8,160*,0.1,1
"Finn,Dixon & Herling",1992,158.8,160*,0.1,1
Baker & Daniels,1992,150.4,162,0.1,1
Allen & Overy,1992,150,163,0.1,2
Porter Wright Morris & Arthur,1992,144.4,164,0.1,2
"Petree, Stockton, Robinson, Vaughn",1992,138.2,165,0.1,1
"Barack,Ferrazzano,Kirschbaum & Perlman",1992,137.9,166,0.1,1
Stevens & Lee P.C.,1992,131.2,167*,0.1,3
Furbee,1992,131.2,167*,0.1,1
"Lord Day & Lord, Barrett Smith",1992,130.3,169,0.1,1
Jones Walker Waechter Poitevent Carrere & Denegre,1992,128.8,170,0.1,2
Stroock & Stroock & Lavan,1992,118.3,171,0.1,2
Miller & Chevalier,1992,117.5,172,0.1,1
Giroir & Gregory,1992,117.2,173,0.1,1
Sonnenschein Carlin Nath & Rosenthal,1992,110.7,174,0.1,1
Piper & Marbury,1992,108.8,175,0.1,1
"Saul, Ewing, Remick & Saul",1992,106.2,176,0.1,2
Bass Berry & Sims PLC,1992,103.4,177,0.1,1
"Blank, Rome, Comisky & Mccauley",1992,93.3,178,0.1,2
Mintz Levin Cohn Ferris & Glovsky,1992,83.3,179,0.1,2
"Calfee, Halter & Griswold (OH)",1992,81.4,180,0.1,2
"LaPorte & Ipavec, LPA",1992,75.7,181,0.1,1
Rhoads & Sinon,1992,74.6,182,0.1,1
Goodwin Procter & Hoar,1992,71.8,183,0,3
Parker Chapin Flattau & Klimpl,1992,70.5,184,0,3
Curtis Mallet-Prevost Colt & Mosle,1992,69.6,185,0,1
Christy & Viener,1992,69.1,186,0,2
"Mackall, Crounse, & Moore",1992,68.8,187,0,1
Rogers & Hardin,1992,65.8,188,0,1
Hiscock & Barclay,1992,64.6,189,0,1
Gage & Tucker,1992,62.6,190*,0,1
"Fairchild Stang Beal Barber & Sanders,P.C.",1992,62.6,190*,0,1
Schiff Hardin & Waite,1992,62.6,190*,0,1
"Harwell,Barr,Martin & Stegall",1992,61.7,193,0,3
"Krieg, Devault, Alexander, Capehart",1992,57,194,0,1
Phelps Dunbar,1992,56.2,195,0,1
"Barley, Snyder, Cooper & Barber",1992,53.3,196*,0,1
Erickson & Sederstrom,1992,53.3,196*,0,1
McAfee & Taft,1992,53.3,196*,0,1
"Locke, Purnell, Boren, Laney & Neely",1992,52.7,199,0,1
"Chamberlain, Hrdlicka, White, Williams & Martin",1992,48.3,200,0,1
Shearman & Sterling,1993,49679.1,1,19.4,20
"Skadden, Arps, Slate, Meagher & Flom",1993,42057.5,2,16.4,105
Wachtell Lipton Rosen & Katz,1993,35515.8,3,13.9,20
Morris Nichols Arsht & Tunnell,1993,34048.5,4,13.3,10
Richards Layton & Finger,1993,32906.9,5,12.8,14
Fried Frank Harris Shriver & Jacobson,1993,31828.1,6,12.4,18
Weil Gotshal & Manges,1993,26344.3,7,10.3,16
"Cravath, Swaine & Moore",1993,25066.1,8,9.8,16
Sullivan & Cromwell,1993,24619.4,9,9.6,27
Milbank Tweed Hadley & McCloy,1993,23337.8,10,9.1,11
Simpson Thacher & Bartlett,1993,22594.3,11,8.8,14
Jones Day Reavis & Pogue,1993,21944,12,8.6,8
Sidley & Austin,1993,18219.8,13,7.1,4
Morrison & Foerster,1993,17719.2,14,6.9,3
Friedman & Kaplan,1993,17108.5,15*,6.7,1
Perkins Coie,1993,17108.5,15*,6.7,1
"Paul, Weiss",1993,14770.8,17,5.8,5
Latham & Watkins,1993,13021.6,18,5.1,21
Davis Polk & Wardwell,1993,11461.5,19,4.5,17
Debevoise & Plimpton,1993,9186.6,20,3.6,27
Cleary Gottlieb Steen & Hamilton,1993,8781.8,21,3.4,13
"Dewey, Ballantine, Bushby, Palmer & Wood",1993,8279.1,22,3.2,13
Gibson Dunn & Crutcher,1993,7266,23,2.8,12
Vinson & Elkins LLP,1993,4337.7,24,1.7,2
Willkie Farr & Gallagher,1993,4318.4,25,1.7,6
Cahill Gordon & Reindel,1993,4238.1,26,1.7,3
Hughes & Luce LLP,1993,4187.7,27*,1.6,1
Jenkens & Gilchrist,1993,4187.7,27*,1.6,1
"Greenebaum, Doll & McDonald",1993,4187.7,27*,1.6,1
Lowenstein Sandler Kohl Fisher & Boylan,1993,4059.1,30,1.6,2
"Thompson, Hine & Flory",1993,4054.5,31,1.6,2
Hale & Dorr LLP,1993,3703.3,32,1.5,5
"Taylor,Roth,Bush & Geffer",1993,3467.5,33*,1.4,1
"Cohen,Weiss and Simon",1993,3467.5,33*,1.4,1
Baker & Botts,1993,3411,35,1.3,1
Hughes Hubbard & Reed,1993,3302.5,36,1.3,3
Howrey & Simon,1993,2657,37,1,1
Kirkland & Ellis,1993,2188.6,38,0.9,5
Andrews Kurth LLP,1993,2155.7,39,0.8,15
Munger Tolles & Olson,1993,2070.3,40,0.8,3
McCarthy Tetrault,1993,2028.7,41,0.8,7
Thompson & Mitchell,1993,1970.7,42,0.8,2
Long Aldridge & Norman LLP,1993,1961.3,43,0.8,1
Goodwin Procter & Hoar,1993,1838.1,44,0.7,7
Davies Ward & Beck,1993,1827.3,45,0.7,2
Foster Pepper & Shefelman PLLC,1993,1666.2,46,0.7,1
Stroock & Stroock & Lavan,1993,1650.6,47,0.6,5
"Cadwalader, Wickersham & Taft",1993,1624.4,48,0.6,3
Bingham Dana & Gould,1993,1501,49,0.6,3
"Stoel, Rives, Boley, Fraser & Wyse",1993,1277.1,50,0.5,2
"Potter, Anderson & Corroon",1993,1257,51,0.5,2
Baker & Hostetler LLP,1993,1241.2,52,0.5,4
"Parsons, Behle & Latimer",1993,1161.9,53,0.5,1
"Brown,Raysman & Millstein",1993,1150,54,0.5,1
Neal Gerber & Eisenberg,1993,1000,55,0.4,1
Arnold & Porter,1993,956.1,56,0.4,4
Dechert Price & Rhoads,1993,933.6,57,0.4,5
Ropes & Gray,1993,922.1,58,0.4,4
O'Melveny & Myers,1993,895.8,59,0.4,3
Alston & Bird,1993,892,60,0.4,7
Quarles & Brady,1993,864.8,61,0.3,2
"Brown, Todd & Heyburn",1993,853.2,62,0.3,1
Bartlit Beck Herman Palenchar & Scott,1993,842.2,63,0.3,1
Baker & McKenzie,1993,836.7,64,0.3,4
Coudert Brothers,1993,822.9,65,0.3,2
Godfrey & Kahn,1993,819.7,66,0.3,1
Drinker Biddle & Reath LLP,1993,761.6,67,0.3,2
Troutman Sanders Lockerman & Ashmore,1993,707.3,68,0.3,2
"Paul, Hastings, Janofsky & Walker",1993,689.1,69,0.3,2
"Zumbrun, Best & Findley",1993,684,70*,0.3,1
Mcdermott Will & Emery,1993,684,70*,0.3,1
Riordan & McKinzie,1993,674.5,72,0.3,2
Testa Hurwitz & Thibeault,1993,668.7,73,0.3,3
Dorsey & Whitney LLP,1993,661.9,74,0.3,11
Gordon Altman Butowsky Weitzen Shalov & Wein,1993,607,75,0.2,1
"Calfee, Halter & Griswold (OH)",1993,600,76,0.2,2
Pitney Hardin,1993,591.6,77,0.2,1
Schulte Roth & Zabel LLP,1993,565.3,78,0.2,1
Powell Goldstein Frazer & Murphy,1993,533.3,79,0.2,3
Vedder Price Kaufman & Kammholz,1993,501.6,80*,0.2,1
Seyfarth Shaw Fairweather & Geraldson,1993,501.6,80*,0.2,1
"Clark, Ladner, Fortenbaugh & Young",1993,499.3,82,0.2,3
"Carter, Ledyard & Milburn",1993,488.9,83,0.2,1
Sullivan & Worcester LLP,1993,471.3,84,0.2,2
Hunton & Williams,1993,464.9,85,0.2,3
Blumenthal & Lynne,1993,446.3,86,0.2,1
White & Case LLP,1993,441.4,87,0.2,2
Venable Baetjer & Howard,1993,437.6,88,0.2,2
Howard Darby Levin,1993,431.2,89,0.2,1
Lord Bissell & Brook,1993,420,90,0.2,1
Sonnenschein Nath & Rosenthal,1993,411.5,91,0.2,3
Stevens & Lee P.C.,1993,401.9,92,0.2,2
Hopkins & Sutter,1993,372.2,93,0.2,1
